icao	latitude	longitude	elev	name	state	country	wban	ncei_id	county	timezone
KDFX	29.2725000000000009	-100.2802800000000047	"1131"	LAUGHLIN AFB	TX	UNITED STATES	"22015"	"30001826"	KINNEY	"-6"
KDGX	32.2800000000000011	-89.9844400000000064	"-99999"	JACKSON BRANDON	MS	UNITED STATES		"30001827"	RANKIN	"-6"
KDIX	39.9469399999999979	-74.4111099999999936	"149"	PHILADELPHIA	NJ	UNITED STATES	"93771"	"30001828"	BURLINGTON	"-5"
KDLH	46.8369399999999985	-92.2097200000000043	"1428"	DULUTH	MN	UNITED STATES	"14913"	"30001829"	ST. LOUIS	"-6"
KDMX	41.7311100000000010	-93.7227800000000002	"981"	DES MOINES	IA	UNITED STATES	"94984"	"30001830"	POLK	"-6"
KDOX	38.8255600000000030	-75.4399999999999977	"50"	DOVER AFB	DE	UNITED STATES	"93770"	"30001831"	SUSSEX	"-5"
KDTX	42.6997199999999992	-83.4716700000000031	"1072"	DETROIT	MI	UNITED STATES	"04830"	"30001832"	OAKLAND	"-5"
KDVN	41.6116699999999966	-90.5808300000000060	"754"	DAVENPORT	IA	UNITED STATES	"94982"	"30001833"	SCOTT	"-6"
KDYX	32.5383300000000020	-99.2541700000000020	"1517"	DYESS AFB	TX	UNITED STATES	"03987"	"30001834"	SHACKELFORD	"-6"
KEAX	38.8102799999999988	-94.2641699999999929	"995"	KANSAS CITY	MO	UNITED STATES	"03983"	"30001835"	CASS	"-6"
KEMX	31.8936099999999989	-110.6302799999999991	"5202"	TUCSON	AZ	UNITED STATES	"53112"	"30001836"	PIMA	"-7"
KENX	42.5863900000000015	-74.0644400000000047	"1826"	ALBANY	NY	UNITED STATES	"54766"	"30001837"	ALBANY	"-5"
KEOX	31.4602800000000009	-85.4594400000000007	"434"	FORT RUCKER	AL	UNITED STATES	"53851"	"30001838"	DALE	"-6"
KEPZ	31.8730599999999988	-106.6975000000000051	"4104"	EL PASO	NM	UNITED STATES	"03020"	"30001839"	DONA ANA	"-7"
KESX	35.7011099999999999	-114.8913900000000012	"4867"	LAS VEGAS	NV	UNITED STATES	"53110"	"30001841"	CLARK	"-8"
KEVX	30.5641700000000007	-85.9213900000000024	"140"	EGLIN AFB	FL	UNITED STATES	"53825"	"30001842"	WALTON	"-5"
KEWX	29.7036100000000012	-98.0280599999999964	"633"	AUSTIN SAN ANTONIO	TX	UNITED STATES	"12971"	"30001843"	COMAL	"-6"
KEYX	35.0977800000000002	-117.5600000000000023	"2757"	EDWARDS	CA	UNITED STATES	"53114"	"30001943"	SANTA BARBARA	"-8"
KFCX	37.0241699999999980	-80.2741699999999980	"2868"	ROANOKE	VA	UNITED STATES	"53831"	"30001844"	FLOYD	"-5"
KFDR	34.3622200000000007	-98.9761100000000056	"1267"	ALTUS AFB	OK	UNITED STATES	"03981"	"30001845"	TILLMAN	"-6"
KFDX	34.6352800000000016	-103.6294400000000024	"4650"	CANNON AFB	NM	UNITED STATES	"03022"	"30001846"	CURRY	"-7"
KFFC	33.3633299999999977	-84.5658300000000054	"858"	ATLANTA	GA	UNITED STATES	"53819"	"30001847"	FAYETTE	"-5"
KFSD	43.5877800000000022	-96.7288900000000069	"1430"	SIOUX FALLS	SD	UNITED STATES	"14944"	"30001944"	MINNEHAHA	"-6"
KFSX	34.5744400000000027	-111.1983299999999986	"-99999"	FLAGSTAFF	AZ	UNITED STATES	"53113"	"30001848"	COCONINO	"-7"
KFTG	39.7866700000000009	-104.5452800000000053	"5497"	DENVER FR. RANGE	CO	UNITED STATES	"03018"	"30001849"	ARAPAHOE	"-7"
KFWS	32.5727800000000016	-97.3027799999999985	"683"	DALLAS	TX	UNITED STATES	"03985"	"30001850"	TARRANT	"-6"
KGGW	48.2063899999999990	-106.6241700000000066	"2276"	GLASGOW	MT	UNITED STATES	"94008"	"30001851"	VALLEY	"-7"
KGJX	39.0622200000000035	-108.2130599999999987	"9992"	GRAND JUNCTION	CO	UNITED STATES	"03025"	"30001852"	MESA	"-7"
KGLD	39.3669399999999996	-101.7000000000000028	"3651"	GOODLAND	KS	UNITED STATES	"23065"	"30001853"	SHERMAN	"-7"
KGRB	44.4983300000000028	-88.1111099999999965	"682"	GREEN BAY	WI	UNITED STATES	"14898"	"30001854"	BROWN	"-6"
KGRK	30.7216699999999996	-97.3827799999999968	"538"	FORT HOOD	TX	UNITED STATES	"03992"	"30001855"	BELL	"-6"
KGRR	42.8938899999999990	-85.5447199999999981	"778"	GRAND RAPIDS	MI	UNITED STATES	"94860"	"30001856"	KENT	"-5"
KGSP	34.8830600000000004	-82.2202800000000025	"940"	GREER	SC	UNITED STATES	"03870"	"30001857"	SPARTANBURG	"-5"
KGWX	33.8966700000000003	-88.3288900000000012	"476"	COLUMBUS AFB	MS	UNITED STATES	"53837"	"30001858"	MONROE	"-6"
KGYX	43.8913900000000012	-70.2569400000000002	"409"	PORTLAND	ME	UNITED STATES	"54762"	"30001859"	CUMBERLAND	"-5"
KHDX	33.0763900000000035	-106.1222199999999987	"4222"	HOLLOMAN AFB	NM	UNITED STATES	"03023"	"30001945"	DONA ANA	"-7"
KHGX	29.4719400000000000	-95.0788900000000012	"18"	HOUSTON	TX	UNITED STATES	"03980"	"30001860"	GALVESTON	"-6"
KHNX	36.3141699999999972	-119.6311100000000067	"243"	SAN JOAQUIN VALLEY	CA	UNITED STATES	"53111"	"30001861"	KINGS	"-8"
KHPX	36.7366699999999966	-87.2849999999999966	"576"	FORT CAMPBELL	KY	UNITED STATES	"53839"	"30001862"	TODD	"-6"
KHTX	34.9305599999999998	-86.0836099999999931	"1760"	HUNTSVILLE	AL	UNITED STATES	"53857"	"30001863"	JACKSON	"-6"
KICT	37.6544400000000010	-97.4424999999999955	"1335"	WICHITA	KS	UNITED STATES	"03928"	"30001864"	SEDGWICK	"-6"
KICX	37.5908299999999969	-112.8622199999999935	"10600"	CEDAR CITY	UT	UNITED STATES	"53118"	"30001865"	IRON	"-7"
KILN	39.4202799999999982	-83.8216699999999975	"1056"	CINCINNATI	OH	UNITED STATES	"13841"	"30001866"	CLINTON	"-5"
KILX	40.1505599999999987	-89.3366699999999980	"582"	LINCOLN	IL	UNITED STATES	"04833"	"30001867"	LOGAN	"-6"
KIND	39.7075000000000031	-86.2802800000000047	"790"	INDIANAPOLIS	IN	UNITED STATES	"93819"	"30001868"	MARION	"-5"
KINX	36.1749999999999972	-95.5644400000000047	"668"	TULSA	OK	UNITED STATES	"03984"	"30001869"	ROGERS	"-6"
KIWA	33.2891699999999986	-111.6691699999999940	"1353"	PHOENIX	AZ	UNITED STATES	"23104"	"30001870"	MARICOPA	"-7"
KIWX	41.4086100000000030	-85.7000000000000028	"960"	FORT WAYNE	IN	UNITED STATES	"04844"	"30001871"	KOSCIUSKO	"-5"
KJAX	30.4844399999999993	-81.7019399999999933	"33"	JACKSONVILLE	FL	UNITED STATES	"13889"	"30001872"	DUVAL	"-5"
KJGX	32.6749999999999972	-83.3511100000000056	"521"	ROBINS AFB	GA	UNITED STATES	"53824"	"30001873"	TWIGGS	"-5"
